Title,Date,Link,Description
"카카오뱅크, 제주·한강·DMZ서 생물 탐사 활동 진행","Mon, 20 May 2024 11:46:00 +0900",http://www.finomy.com/news/articleView.html?idxno=210981,카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고 성과 공유회를 열었다고 20일 밝혔다. 카카오뱅크 에코챌린저스는 생물 다양성 보존·기후 변화에 관심이 많은 청년(만 19~34세) 약 30명과 전문... 
"카카오뱅크, '기록통장 with NCT WISH' 출시","Wed, 22 May 2024 10:36:00 +0900",http://www.seoulwire.com/news/articleView.html?idxno=610166,카카오뱅크는 22일 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 밝혔다. 작년 4월 첫 선을 보인 기록통장은 모으기 규칙을 통해 편리하게 저축하고 저축 순간을 기록할 수... 
"카카오뱅크, '기록통장 with NCT WISH' 출시","Wed, 22 May 2024 17:32:00 +0900",http://www.finomy.com/news/articleView.html?idxno=211118,카카오뱅크는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔다. 기록통장은 카카오뱅크가 지난해 4월 처음 선보인 통장이다. 가장 사랑하는 대상과의 의미 있는... 
"카카오뱅크, SM과 맞손…'기록통장 with NCT WISH' 출시","Wed, 22 May 2024 17:44:00 +0900",https://www.getnews.co.kr/news/articleView.html?idxno=675498,사진제공=카카오뱅크 카카오뱅크는 다양한 순간의 기록을 담아 저축할 수 있는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔다. 2023년 4월 첫 선을 보인 기록통장은... 
“통장 쓰고 NCT WISH랑 봉사활동 가자” 카카오뱅크 ‘기록통장 with NCT WI...,"Wed, 22 May 2024 09:45:00 +0900",https://n.news.naver.com/mnews/article/016/0002311838?sid=101,카카오뱅크는 순간의 기록을 담아 저축할 수 있는 기록통장의 첫 번째 아티스트 제휴 상품인 ‘기록통장 with NCT WISH’를 출시한다고 22일 밝혔다. 기록통장은 모으기 규칙을 통해 편리하게 저축하고 저축... 
"카카오뱅크, SM과 손잡고 ‘기록통장 with NCT WISH’ 출시","Wed, 22 May 2024 09:22:00 +0900",https://www.viva100.com/main/view.php?key=20240522010006486,"카카오뱅크, SM과 손잡고 ‘기록통장 with NCT WISH’ 출시 카카오뱅크는 기록통장의 첫 번째 아티스트 제휴 상품인 ‘기록통장 with NCT WISH’를 출시한다고 22일 밝혔다. 지난해 4월 첫 선을 보인 기록통장은 가장... "
"카카오뱅크, '에코챌린저스 1기' 성과 공유회 개최","Mon, 20 May 2024 09:06:00 +0900",http://www.smedaily.co.kr/news/articleView.html?idxno=291271,"카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고, 성과 공유회를 열었다. 사진/카카오뱅크 카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고, 성과 공유회를... "
"카카오뱅크, 청년 봉사단 '에코챌린저스' 성과 공유회","Mon, 20 May 2024 10:30:00 +0900",http://www.meconomynews.com/news/articleView.html?idxno=93844,&quot;ESG 확대&quot; [시장경제=정우교 기자] 카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고 성과 공유회를 열었다고 20일 밝혔다. 사진=카카오뱅크 ﻿카카오뱅크는 청년 봉사단 '카카오뱅크... 
은행주 최대 50% 올랐는데…혼자 뒷걸음질 치는 카카오뱅크,"Thu, 23 May 2024 19:02:00 +0900",https://www.ajunews.com/view/20240523151359394,KB·하나금융 연초 대비 50%↑…'밸류업 수혜주'로 주목 카카오뱅크는 역주행…대출성장률 전망치 하향 조정 탓 아주경제=안선영 기자 asy728@ajunews.com [사진=카카오뱅크] '밸류업 프로그램'의 수혜를 등에 업고 금융지주... 
"카카오뱅크, '기록통장 with NCT WISH' 출시","Wed, 22 May 2024 14:12:00 +0900",http://www.dailyimpact.co.kr/news/articleView.html?idxno=116787,카카오뱅크는 다양한 순간의 기록을 담아 저축할 수 있는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔다. 2023년 4월 첫 선을 보인 기록통장은 가장 사랑하는... 
"카카오뱅크, 기록통장 'with NCT WISH' 출시","Wed, 22 May 2024 14:14:00 +0900",http://www.opinionnews.co.kr/news/articleView.html?idxno=98731,카카오뱅크가 기록통장의 첫 번째 아티스트 제휴 상품 '기록통장 위드 엔씨티 위시(with NCT WISH)'를 출시한다고 22일 밝혔다. 지난해 4월 첫 선을 보인 기록통장은 사랑하는 사람과의 의미있는 순간마다 모으기... 
"카카오뱅크, SM엔터테인먼트와 '기록통장 NCT WISH' 출시","Wed, 22 May 2024 09:26:00 +0900",https://www.psnews.co.kr/news/articleView.html?idxno=2055845,"카카오뱅크. [사진=카카오뱅크] 카카오뱅크(대표이사 윤호영, Daniel)는 다양한 순간의 기록을 담아 저축할 수 있는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔다.... "
"카카오뱅크, SM과 손잡고 '기록통장 with NCT WISH' 출시","Wed, 22 May 2024 17:32:00 +0900",https://www.ziksir.com/news/articleView.html?idxno=58639,카카오뱅크가 '기록통장 with NCT WISH'를 출시한다. [카카오뱅크]  카카오뱅크는 다양한 순간의 기록을 담아 저축할 수 있는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일... 
"카카오뱅크, ‘기록통장 with NCT WISH’ 출시 하루 만에 기부금 1억원 돌파","Thu, 23 May 2024 16:22:00 +0900",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202405231536312700407,카카오뱅크는 SM엔터테인먼트와 손잡고 선보인 ‘기록통장 with NCT WISH’가 출시 하루 만에 기부금 목표 금액인 1억원을 돌파했다고 23일 밝혔다. ‘기록통장 with NCT WISH’는 기록통장의 첫 아티스트 제휴... 
카카오뱅크 &quot;﻿기록통장 with NCT WISH 출시&quot;,"Wed, 22 May 2024 09:36:00 +0900",http://www.meconomynews.com/news/articleView.html?idxno=93969,엔터업계와 첫 제휴 &quot;모으기 규칙 통해 저축&quot; [시장경제=정우교 기자] 사진=카카오뱅크 카카오뱅크는 기록통장의 첫 번째 아티스트 제휴상품 '기록통장 with NCT WISH'를 선보인다고 22일 밝혔다. 기록통장은... 
"카카오뱅크 '기록통장 with NCT WISH', 출시 하루 만에 기부 목표 돌파","Thu, 23 May 2024 11:18:00 +0900",https://www.businessplus.kr/news/articleView.html?idxno=60988,사진=카카오뱅크 카카오뱅크는 SM엔터테인먼트와 손잡고 선보인 '기록통장 with NCT WISH'가 출시 하루 만에 기부금 목표 금액인 1억원을 돌파했다고 23일 밝혔다. 앞서 카카오뱅크는 응원의 마음을 담은 저축 취지를... 
엔터사 손잡은 카카오뱅크…'기록통장' 돌풍 일으킬까,"Wed, 22 May 2024 18:08:00 +0900",https://www.cstimes.com/news/articleView.html?idxno=593494,컨슈머타임스=이지영 기자 | 카카오뱅크가 제휴사 확장으로 또 한번 성장을 노린다. 카카오뱅크는 금융플랫폼으로서 그동안 26주적금 등 획기적인 수신상품을 내놓으면서 업계서 반향을 일으켜 왔다. 특히 다양한 제휴... 
카카오뱅크 '기록통장 with NCT WISH' 출시 하루 만에 기부금 1억원 돌파,"Thu, 23 May 2024 10:58:00 +0900",https://www.newscj.com/news/articleView.html?idxno=3142434,카카오뱅크의 '기록통장 with NCT WISH'가 출시 하루 만에 기부금 목표 금액인 1억원을 돌파했다. 카카오뱅크는 23일 보도자료를 통해 &quot;SM엔터테인먼트와 손잡고 선보인 '기록통장 with NCT WISH'가 22일 오후 8시 기준... 
"카카오뱅크, '기록통장 with NCT WISH' 선보여","Wed, 22 May 2024 09:10:00 +0900",http://www.smedaily.co.kr/news/articleView.html?idxno=291553,카카오뱅크는 다양한 순간의 기록을 담아 저축할 수 있는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔다. 2023년 4월 첫 선을 보인 기록통장은 가장 사랑하는... 
카카오뱅크 '기록통장 with NCT WISH' 관심 폭발...&quot;신규 고객 유입에도 효과...,"Fri, 24 May 2024 02:12:00 +0900",https://www.greened.kr/news/articleView.html?idxno=314532,"카카오뱅크 '기록통장 with NCT WISH'. 카카오뱅크 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'가 출시한지 하루도 안되서 저축금액 1억원을 초과했으며, 신규 고객 유입에도 효과적이었던... "
"카카오뱅크, 에코챌린저스 성과 공유회 개최…&quot;생물 다양성 보존 중요성 공유...","Mon, 20 May 2024 10:20:00 +0900",https://n.news.naver.com/mnews/article/138/0002173606?sid=101,"카카오뱅크는 청년 봉사단 ‘카카오뱅크 에코챌린저스’가 1기 활동을 마치고, 성과 공유회를 열었다고 20일 밝혔다. ‘카카오뱅크 에코챌린저스’는 생물 다양성 보존 및 기후 변화에 관심이 많은 청년(만 19~34세) 약... "
"카카오뱅크, 기록통장 with NCT WISH 출시","Wed, 22 May 2024 14:22:00 +0900",https://www.pinpointnews.co.kr/news/articleView.html?idxno=267170,카카오뱅크는 다양한 순간의 기록을 담아 저축할 수 있는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔다. 2023년 4월 첫 선을 보인 기록통장은 가장 사랑하는... 
"카카오뱅크, 청년 봉사잔 '에코챌린저스' 성과 공유회 개최","Mon, 20 May 2024 16:20:00 +0900",http://www.globalepic.co.kr/view.php?ud=2024052009151087262abca1943_29,"카카오뱅크(대표 윤호영)는 청년 봉사단 ‘카카오뱅크 에코챌린저스’가 1기 활동을 마치고, 성과 공유회를 열었다고 20일 밝혔다. ‘카카오뱅크 에코챌린저스’는 생물 다양성 보존 및 기후 변화에 관심이 많은 청년... "
"카카오뱅크, SM과 손잡고 '기록통장 with NCT WISH' 출시","Wed, 22 May 2024 14:02:00 +0900",http://www.paxetv.com/news/articleView.html?idxno=203661,카카오뱅크가 다양한 순간의 기록을 담아 저축할 수 있는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔습니다. 2023년 4월 첫 선을 보인 기록통장은 가장 사랑하는... 
"카카오뱅크, '기록통장 NCT WISH' 출시 하루 만에 목표 금액 1억 넘었다","Thu, 23 May 2024 16:05:00 +0900",https://www.psnews.co.kr/news/articleView.html?idxno=2056069,"카카오뱅크. [사진=카카오뱅크] 카카오뱅크(대표이사 윤호영, Daniel)는 SM엔터테인먼트와 손잡고 선보인 '기록통장 with NCT WISH'가 출시 하루 만에 기부금 목표 금액인 1억원을 돌파했다고 23일 밝혔다. '기록통장... "
"카카오뱅크 '기록통장 with NCT WISH', 출시 하루 만에 기부금 목표 금액 1억...","Thu, 23 May 2024 11:58:00 +0900",https://www.polinews.co.kr/news/articleView.html?idxno=649657,"카카오뱅크(대표이사 윤호영, Daniel)는 SM엔터테인먼트와 손잡고 선보인 '기록통장 with NCT WISH'가 출시 하루 만에 기부금 목표 금액인 1억원을 돌파했다고 23일 밝혔다. '기록통장 with NCT WISH'는 기록통장의 첫... "
"카카오뱅크, 환경봉사단 에코챌린저스 성과 공유회…1기 활동 종료","Mon, 20 May 2024 10:56:00 +0900",http://www.whitepaper.co.kr/news/articleView.html?idxno=234248,"화이트페이퍼, WHITEPAPER(사진=카카오뱅크 제공)  카카오뱅크(대표이사 윤호영)가 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고 성과 공유회를 열었다고 20일 밝혔다. '카카오뱅크 에코챌린저스'는... "
"카카오뱅크, 청년 봉사단 '에코챌린저스' 1기 성과 공유회","Mon, 20 May 2024 13:12:00 +0900",https://www.newsquest.co.kr/news/articleView.html?idxno=223798,카카오뱅크가 생물 다양성 보존과 기후변화 대응 목적의 봉사단 1기 활동을 마무리했다. 카카오뱅크(대표 윤호영)는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고 성과 공유회를 열었다고 20일 밝혔다.... 
"카카오뱅크, 청년봉사단 '에코챌린저스' 성과 공유회 개최","Mon, 20 May 2024 17:32:00 +0900",https://www.job-post.co.kr/news/articleView.html?idxno=105126,카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고 성과 공유회를 열었다고 20일 밝혔다.(사진제공/카카오뱅크) 카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고 성과... 
"카카오뱅크, '기록통장 with NCT WISH' 출시","Wed, 22 May 2024 10:30:00 +0900",http://www.newscape.co.kr/news/articleView.html?idxno=102468,카카오뱅크는 다양한 순간의 기록을 담아 저축할 수 있는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔다. 2023년 4월 첫 선을 보인 기록통장은 가장 사랑하는... 
"&quot;사랑하는 만큼&quot;...카카오뱅크, '기록통장 with NCT WISH' 출시","Wed, 22 May 2024 14:32:00 +0900",https://www.techm.kr/news/articleView.html?idxno=124987,/ 사진=카카오뱅크 제공 카카오뱅크는 다양한 순간의 기록을 담아 저축할 수 있는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔다. 2023년 4월 첫 선을 보인... 
"카카오뱅크, '기록통장 with NCT WISH' 출시 하루 만에 1억원 돌파","Thu, 23 May 2024 10:10:00 +0900",https://www.cstimes.com/news/articleView.html?idxno=593626,"컨슈머타임스=이지영 기자 | 카카오뱅크(대표이사 윤호영, Daniel)는 SM엔터테인먼트와 손잡고 선보인 '기록통장 with NCT WISH'가 출시 하루 만에 기부금 목표 금액인 1억원을 돌파했다고 23일 밝혔다. '기록통장 with... "
"카카오뱅크, 에코챌린저스 성과…&quot;생물 다양성 보존해야&quot;","Mon, 20 May 2024 10:28:00 +0900",https://www.ngetnews.com/news/articleView.html?idxno=506212,뉴스저널리즘 김혜민 기자 = 카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고 성과 공유회를 열었다고 20일 밝혔다. '카카오뱅크 에코챌린저스'는 생물 다양성 보존 및 기후 변화에 관심이... 
"카카오뱅크, '기록통장 with NCT WISH' 출시 하루 만에 1억원 돌파","Thu, 23 May 2024 14:44:00 +0900",http://www.paxetv.com/news/articleView.html?idxno=203768,카카오뱅크가 SM엔터테인먼트와 손잡고 선보인 '기록통장 with NCT WISH'가 출시 하루 만에 기부금 목표 금액인 1억원을 돌파했다고 23일 밝혔습니다. '기록통장 with NCT WISH'는 기록통장의 첫 아티스트 제휴 상품으로... 
"카카오뱅크, 청년 봉사단 '에코챌린저스'…성과 공유회 개최","Mon, 20 May 2024 09:20:00 +0900",https://www.pinpointnews.co.kr/news/articleView.html?idxno=266548,"카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고, 성과 공유회를 열었다고 20일 밝혔다. '카카오뱅크 에코챌린저스'는 생물 다양성 보존 및 기후 변화에 관심이 많은 청년(만 19~34세) 약 30명과... "
"토스뱅크, 1분기 순이익 148억…연간 흑자 '청신호'","Wed, 22 May 2024 08:00:00 +0900",https://n.news.naver.com/mnews/article/003/0012559420?sid=101,카카오뱅크와 케이뱅크는 나란히 분기 최대 실적을 기록하면서 인터넷전문은행들의 빠른 성장세가 이어지고 있다. 22일 하나금융지주 분기보고서에 따르면 토스뱅크는 1분기 수익 4269억9400만원에 당기순이익... 
"카카오뱅크, 에코챌린저스 성과 공유회 개최","Mon, 20 May 2024 15:46:00 +0900",https://www.khgames.co.kr/news/articleView.html?idxno=227980,"카카오뱅크가 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고, 성과 공유회를 열었다고 5월 20일 밝혔다. '카카오뱅크 에코챌린저스'는 생물 다양성 보존 및 기후 변화에 관심이 많은 청년(만 19~34세) 약... "
"카카오뱅크, ‘기록통장 with NCT WISH’ 출시","Wed, 22 May 2024 09:52:00 +0900",https://www.inthenews.co.kr/news/article.html?no=62492,기록통장 첫 아티스트 제휴상품 멤버 입력 규칙부터 음성메시지 확인 인더뉴스 문승현 기자ㅣ카카오뱅크(대표이사 윤호영)는 22일 SM엔터테인먼트와 함께 아티스트 제휴상품인 '기록통장 with NCT WISH'를 오는... 
"카카오뱅크, SM과 협업 '기록통장 with NCT WISH' 출시","Wed, 22 May 2024 13:52:00 +0900",https://www.lcnews.co.kr/news/articleView.html?idxno=75788,[사진=카카오뱅크 제공] 라이센스뉴스 = 김상미 기자 | 카카오뱅크는 다양한 순간의 기록을 담아 저축할 수 있는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔다.... 
"저축하고 최애와 봉사활동까지…카카오뱅크, '기록통장 with NCT WISH' 출시","Wed, 22 May 2024 13:40:00 +0900",http://www.fntimes.com/html/view.php?ud=2024052213374439360d260cda75_18,카카오뱅크(대표이사 윤호영)가 SM엔터테인먼트와 손을 맞잡았다. 카카오뱅크는 기록통장의 첫 번째 아티스트 제휴 상품으로 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔다. 작년 4월 처음 선보인 기록통장은... 
다음달 인뱅 3사 '중간 성적표'…제4인터넷은행 선정에 활용할 듯,"Sun, 26 May 2024 10:58:00 +0900",https://www.ajunews.com/view/20240526105422521,26일 금융권에 따르면 금융위원회는 금융연구원 주관으로 다음 달 13일 세미나를 열고 기존 인터넷은행 3사(카카오뱅크·케이뱅크·토스뱅크)에 대한 성과 평가를 한다. 인터넷은행 도입 취지인 은행산업 내 경쟁 촉진... 
"카카오뱅크, 청년 봉사단 '에코챌린저스 1기' 성과 공유회 개최","Mon, 20 May 2024 12:12:00 +0900",https://www.thepublic.kr/news/articleView.html?idxno=224296,"카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고, 성과 공유회를 열었다고 20일 밝혔다. '카카오뱅크 에코챌린저스'는 생물 다양성 보존 및 기후 변화에 관심이 많은 청년(만 19~34세) 약 30명과... "
"[포토] 카카오뱅크, 에코챌린저스 성과 공유회 열어","Mon, 20 May 2024 09:16:00 +0900",http://www.asiaa.co.kr/news/articleView.html?idxno=171647,"카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고, 성과 공유회를 열었다고 20일 밝혔다. '카카오뱅크 에코챌린저스'는 생물 다양성 보존 및 기후 변화에 관심이 많은 청년(만 19~34세) 약 30명과... "
"SM 손잡은 카카오뱅크, '기록통장 with NCT WISH' 출시","Wed, 22 May 2024 09:06:00 +0900",https://www.fetv.co.kr/news/article.html?no=165927,카카오뱅크는 기록통장의 첫 번째 아티스트 제휴 상품인 '기록통장 with NCT WISH'를 출시한다고 22일 밝혔다. 2023년 4월 첫 선을 보인 기록통장은 가장 사랑하는 대상과의 의미있는 순간마다 모으기 규칙을 통해... 
"카카오뱅크, '기록통장 with NCT WISH' 출시 하루 만에 기부금 1억원 돌파","Thu, 23 May 2024 16:42:00 +0900",http://www.dailyimpact.co.kr/news/articleView.html?idxno=116864,카카오뱅크는 SM엔터테인먼트와 손잡고 선보인 '기록통장 with NCT WISH'가 출시 하루 만에 기부금 목표 금액인 1억원을 돌파했다고 23일 밝혔다. '기록통장 with NCT WISH'는 기록통장의 첫 아티스트 제휴 상품으로 NCT... 
"'생물다양성 보전에 관심'...카카오뱅크, 에코챌린저스 1기 성과 공유회","Mon, 20 May 2024 10:18:00 +0900",https://www.pointdaily.co.kr/news/articleView.html?idxno=202124,카카오뱅크 에코챌린저스 1기 단원들이 지난 18~19일 강원도 인제에서 그 동안의 활동을 마무리하며 기념촬영을 하고 있다. 사진=카카오뱅크  카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을... 
"&quot;생물다양성 보전에 관심을&quot;...카카오뱅크, 에코챌린저스 성과 공유회","Mon, 20 May 2024 10:06:00 +0900",https://www.fetv.co.kr/news/article.html?no=165745,"카카오뱅크는 청년 봉사단 ‘카카오뱅크 에코챌린저스’가 1기 활동을 마치고, 성과 공유회를 열었다고 20일 밝혔다. ‘카카오뱅크 에코챌린저스’는 생물 다양성 보존 및 기후 변화에 관심이 많은 청년(만 19~34세) 약... "
"카카오뱅크, 에코챌린저스 성과 공유회 개최…&quot;생물 다양성 공유&quot;","Mon, 20 May 2024 09:18:00 +0900",http://www.newscape.co.kr/news/articleView.html?idxno=102387,"카카오뱅크는 청년 봉사단 '카카오뱅크 에코챌린저스'가 1기 활동을 마치고, 성과 공유회를 열었다고 20일 밝혔다. '카카오뱅크 에코챌린저스'는 생물 다양성 보존 및 기후 변화에 관심이 많은 청년(만 19~34세) 약 30명과... "
